,COD,Conductivity,Dissolved O2(DO),Nitrate-N,pH,Potassium,Sodium,Sulphate,Temperature,Total Coliform,Total Dissolved Solids(TDS),Total Fixed Solids(TFS),Total Hardness as CaCo3,Turbidity
Unnamed: 76,17.0,98.76,6.5,0.51,6.74,4.0,11.0,11.79,21.0,34000.0,96.0,136.0,72.0,19.6
Unnamed: 77,34.0,170.1,8.0,0.63,7.21,10.0,14.42,8.48,25.0,22000.0,88.0,6.0,58.0,14.7
Unnamed: 78,19.2,185.1,6.5,0.63,7.45,5.0,10.0,10.08,21.0,70000.0,64.0,88.0,40.0,13.3
Unnamed: 79,35.0,210.1,6.2,0.63,6.97,4.0,10.0,15.59,22.0,50000.0,102.0,262.0,68.0,8.14
Unnamed: 80,20.0,157.7,112.0,0.6,7.35,4.0,12.0,7.36,30.0,70000.0,112.0,150.0,84.0,15.5
Unnamed: 81,10.0,215.9,7.6,0.67,6.9,6.0,13.0,6.42,28.0,90000.0,198.0,174.0,60.0,21.4
Unnamed: 82,18.0,84.45,6.9,0.65,7.27,6.0,12.0,7.85,24.0,60000.0,70.0,260.0,52.0,94.0
Unnamed: 83,30.0,129.4,6.8,0.59,7.51,4.3,5.6,6.41,24.0,11000.0,158.0,510.0,48.0,402.0
Unnamed: 84,26.0,96.71,7.0,0.54,6.74,2.38,5.15,6.41,27.0,15000.0,110.0,297.0,46.0,11.5
Unnamed: 85,34.0,135.0,7.89,0.67,6.98,2.62,5.39,8.39,32.0,22000.0,285.0,404.0,54.0,187.0
Unnamed: 86,39.0,145.0,8.0,0.87,7.02,2.98,6.05,8.58,41.0,25000.0,298.0,410.0,58.0,200.0
Unnamed: 87,42.0,154.0,8.08,0.67,7.89,3.45,6.98,8.78,54.0,21000.0,300.0,423.0,84.0,275.0
Unnamed: 88,48.0,256.0,9.76,0.54,6.76,4.22,7.02,9.23,60.0,52.0,103.5,450.0,56.0,300.0
Unnamed: 89,50.0,270.0,10.5,0.89,7.15,5.21,7.89,9.89,64.0,25000.0,189.0,438.0,60.0,500.0
Unnamed: 90,58.0,300.0,10.8,0.67,7.56,6.78,8.02,10.0,39.0,21000.0,200.0,456.0,65.0,545.0
Unnamed: 91,18.0,214.02,6.02,0.52,8.16,4.279921259842519,9.62,14.76,23.0,0.0,148.0,215.0,72.0,0.97
Unnamed: 92,29.0,345.09,9.02,0.87,7.45,9.9,5.27,15.78,46.0,23000.0,210.0,349.0,56.0,69.7792857142857
Unnamed: 93,30.0,342.09,9.87,0.67,6.89,6.89,7.09,17.78,54.0,32000.0,310.0,450.0,89.0,0.54
Unnamed: 94,40.0,457.02,4.89,0.45,5.56,8.76,5.67,25.09,67.0,45000.0,450.0,876.0,34.0,0.65
Unnamed: 95,54.0,765.0,8.09,0.65,4.89,4.76,4.98,34.65,54.0,54000.0,320.0,580.0,23.0,0.76
